"Name","Team","G","PA","H","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","Fld","BsR","WAR","playerid"
"Alex Rodriguez","- - -","2405","10671","2782","630","1828","1894","307","11.0 %","18.0 %",".265",".318",".301",".386",".566",".407","147","28.0","9.9","112.7","1274"
"Barry Bonds","Giants","1815","7677","1770","540","1426","1317","234","23.7 %","11.3 %",".356",".282",".309",".479",".665",".466","188","50.3","-15.8","108.1","1109"
"Albert Pujols","- - -","1712","7468","2081","445","1293","1332","84","13.1 %","9.5 %",".287",".311",".328",".420",".615",".429","166","64.9","15.7","87.7","1177"
"Chipper Jones","Braves","2381","10171","2617","455","1561","1563","149","14.3 %","13.4 %",".229",".314",".304",".402",".533",".399","143","-41.2","-4.4","87.6","97"
"Derek Jeter","Yankees","2433","11194","3101","241","1772","1199","339","8.9 %","14.8 %",".136",".355",".313",".383",".449",".369","124","-122.2","17.9","74.7","826"
"Scott Rolen","- - -","1955","8217","2008","308","1187","1249","116","10.6 %","16.5 %",".211",".306",".282",".366",".493",".369","123","159.1","10.7","73.6","970"
"Andruw Jones","- - -","2095","8408","1889","421","1180","1258","152","10.3 %","20.0 %",".232",".275",".256",".339",".488",".354","112","276.4","-1.8","71.7","96"
"Jim Thome","- - -","2375","9710","2198","594","1523","1631","14","17.3 %","24.8 %",".285",".323",".278",".406",".564",".409","147","-32.7","-36.9","70.4","409"
"Manny Ramirez","- - -","2280","9719","2565","553","1539","1826","38","13.7 %","18.6 %",".274",".340",".313",".412",".587",".418","153","-156.2","-22.3","70.3","210"
"Jeff Bagwell","Astros","1689","7475","1820","396","1275","1263","172","15.8 %","17.0 %",".264",".315",".297",".415",".561",".414","152","45.1","0.6","69.1","547"
"Ivan Rodriguez","- - -","2184","9009","2532","290","1235","1202","119","5.1 %","14.3 %",".175",".325",".301",".338",".476",".349","106","148.2","-3.8","67.9","1275"
"Jim Edmonds","- - -","1977","7917","1934","393","1246","1195","67","12.6 %","21.6 %",".244",".324",".285",".377",".529",".384","131","55.8","-3.5","67.9","1153"
"Bobby Abreu","- - -","2245","9680","2387","284","1413","1328","393","14.7 %","18.2 %",".187",".341",".293",".397",".481",".383","132","-23.2","3.5","62.6","945"
"Carlos Beltran","- - -","1775","7767","1927","305","1190","1150","294","10.8 %","15.7 %",".213",".303",".283",".361",".497",".372","125","57.5","30.3","62.2","589"
"Todd Helton","Rockies","2061","8759","2371","348","1332","1316","36","14.4 %","11.9 %",".227",".335",".322",".421",".550",".411","135","57.3","-17.8","61.6","432"
"Lance Berkman","- - -","1779","7446","1828","358","1112","1194","84","15.5 %","16.6 %",".249",".317",".296",".409",".546",".404","146","-6.3","-10.6","60.3","548"
"Vladimir Guerrero","- - -","2145","9059","2590","449","1328","1496","181","8.1 %","10.9 %",".235",".316",".318",".379",".553",".389","136","8.2","-20.5","60.0","778"
"Brian Giles","- - -","1836","7836","1897","287","1121","1078","109","15.1 %","10.7 %",".212",".294",".291",".400",".502",".388","136","-11.9","14.3","59.2","990"
"Mike Piazza","- - -","1740","7069","1937","391","962","1216","14","10.0 %","14.4 %",".239",".314",".308",".378",".546",".389","140","-69.9","-15.1","59.1","893"
"Jeff Kent","- - -","2049","8650","2254","345","1203","1388","88","8.6 %","15.7 %",".213",".314",".293",".359",".506",".369","124","0.6","-7.6","58.9","1119"
"Sammy Sosa","- - -","1801","7844","1949","539","1204","1433","131","10.4 %","23.1 %",".285",".304",".282",".358",".567",".386","132","67.1","-6.0","57.3","302"
"Gary Sheffield","- - -","1996","8528","2073","435","1344","1370","188","15.0 %","11.4 %",".239",".286",".294",".406",".533",".403","147","-135.6","8.8","57.2","114"
"Adrian Beltre","- - -","1959","8081","2043","311","1000","1119","115","6.8 %","15.1 %",".192",".292",".276",".329",".469",".342","109","152.9","-2.1","56.4","639"
"Larry Walker","- - -","1404","5792","1621","303","1063","1013","147","12.0 %","14.3 %",".278",".343",".328",".420",".607",".435","148","40.1","10.5","55.1","455"
"Ken Griffey Jr.","- - -","1936","8191","1949","498","1238","1383","107","12.1 %","16.8 %",".269",".276",".276",".367",".545",".384","129","-55.1","-17.0","53.4","327"
"Ichiro Suzuki","Mariners","1759","8104","2439","95","1131","608","424","6.1 %","9.3 %",".096",".351",".325",".369",".421",".348","116","120.0","25.7","53.1","1101"
"Jason Giambi","- - -","2105","8515","1949","428","1197","1397","20","15.5 %","17.4 %",".244",".297",".281",".404",".525",".399","143","-66.1","-27.0","53.0","818"
"Kenny Lofton","- - -","1782","7848","2064","124","1307","697","484","10.1 %","11.0 %",".132",".325",".299",".371",".431",".359","113","76.5","11.6","52.8","246"
"Mike Cameron","- - -","1918","7884","1700","278","1064","968","297","11.0 %","24.1 %",".195",".301",".249",".338",".444",".344","109","112.2","18.6","52.6","1070"
"Craig Biggio","Astros","2046","9206","2261","240","1440","919","290","9.0 %","14.4 %",".165",".311",".283",".366",".448",".361","118","-36.0","3.8","52.2","549"
"Frank Thomas","- - -","1791","7747","1868","417","1137","1321","21","16.1 %","14.1 %",".258",".295",".295",".413",".553",".410","148","-46.2","-29.5","51.5","255"
"Chase Utley","Phillies","1109","4778","1198","188","731","694","110","9.7 %","15.0 %",".215",".309",".290",".377",".505",".384","132","92.7","25.3","50.6","1679"
"Edgar Martinez","Mariners","1491","6427","1655","260","904","1045","32","15.9 %","14.8 %",".223",".338",".314",".427",".537",".414","152","5.0","-17.0","50.0","1086"
"Luis Gonzalez","- - -","2162","8956","2211","316","1238","1243","91","11.6 %","10.9 %",".203",".290",".286",".374",".488",".368","118","41.4","-7.4","48.2","55"
"J.D. Drew","- - -","1559","6153","1437","242","944","795","87","14.0 %","18.5 %",".212",".311",".278",".384",".489",".377","127","77.5","10.6","47.6","1152"
"Rafael Palmeiro","- - -","1784","7711","1876","437","1076","1309","47","12.6 %","12.1 %",".256",".271",".284",".376",".540",".388","131","27.1","-12.8","46.8","1266"
"Jorge Posada","Yankees","1825","7150","1664","275","900","1065","20","13.1 %","20.3 %",".201",".315",".273",".374",".474",".366","122","-31.0","-41.7","46.7","841"
"Carlos Delgado","- - -","2032","8655","2038","473","1241","1512","14","12.8 %","20.2 %",".266",".303",".280",".383",".546",".390","135","-60.8","-27.7","46.3","1297"
"Johnny Damon","- - -","2415","10693","2723","231","1643","1120","404","9.2 %","11.5 %",".149",".306",".286",".353",".435",".349","108","-16.1","27.0","46.0","185"
"Moises Alou","- - -","1674","6980","1896","305","982","1146","73","9.7 %","11.3 %",".216",".308",".306",".374",".522",".382","131","15.7","-12.3","45.7","261"
"John Olerud","- - -","1678","6877","1695","184","853","941","10","14.0 %","10.6 %",".164",".307",".294",".398",".458",".374","127","85.5","-11.5","44.8","1093"
"Miguel Cabrera","- - -","1359","5812","1605","280","859","993","29","11.2 %","17.4 %",".239",".346",".317",".395",".556",".399","146","-43.9","-9.5","44.2","1744"
"Jimmy Rollins","Phillies","1643","7571","1877","170","1082","726","374","7.5 %","11.4 %",".159",".289",".272",".329",".432",".336","101","36.7","33.0","44.1","971"
"Jason Kendall","- - -","2081","8702","2195","75","1030","744","189","8.3 %","7.9 %",".090",".306",".288",".366",".378",".333","99","-10.8","7.9","43.9","993"
"Miguel Tejada","- - -","2115","9038","2362","304","1215","1282","84","6.1 %","11.7 %",".172",".294",".285",".336",".457",".341","106","-44.9","-3.2","43.7","941"
"Nomar Garciaparra","- - -","1434","6116","1747","229","927","936","95","6.6 %","9.1 %",".208",".312",".313",".361",".521",".376","125","-18.0","0.3","43.2","190"
"Bernie Williams","Yankees","1788","7758","2035","267","1217","1129","121","12.1 %","13.1 %",".190",".322",".303",".388",".493",".379","129","-152.5","-3.5","42.1","857"
"Placido Polanco","- - -","1713","7174","1972","101","949","682","79","5.4 %","6.8 %",".105",".310",".300",".346",".405",".331","99","121.3","11.0","41.4","1176"
"Robin Ventura","- - -","1429","5580","1270","228","691","834","18","13.2 %","16.1 %",".195",".282",".266",".362",".461",".353","112","105.9","-1.3","40.5","854"
"Mark McGwire","- - -","928","3826","826","354","647","782","6","20.1 %","23.0 %",".397",".266",".277",".429",".674",".452","173","-39.0","","40.5","1008559"
"Derrek Lee","- - -","1930","7963","1959","331","1081","1078","104","11.0 %","20.4 %",".213",".321",".281",".365",".495",".369","123","4.7","-0.8","40.0","525"
"David Wright","Mets","1111","4805","1258","185","702","730","151","11.2 %","18.7 %",".208",".341",".301",".381",".509",".384","137","-27.2","7.2","40.0","3787"
"Matt Holliday","- - -","1145","4871","1356","204","756","773","91","9.3 %","16.4 %",".226",".345",".314",".386",".540",".397","139","11.1","15.5","39.8","1873"
"Edgar Renteria","- - -","2146","9066","2327","140","1200","923","294","7.9 %","13.0 %",".112",".317",".286",".343",".398",".328","96","3.6","9.2","39.6","1178"
"Mark Teixeira","- - -","1382","6071","1473","314","876","1018","19","11.5 %","17.2 %",".249",".295",".281",".372",".530",".384","132","41.3","-8.1","39.6","1281"
"Magglio Ordonez","- - -","1842","7745","2156","294","1076","1236","94","8.4 %","11.0 %",".193",".316",".309",".369",".502",".374","126","-35.9","-10.8","39.6","248"
"Roberto Alomar","- - -","1459","6368","1670","154","960","739","227","10.4 %","11.1 %",".158",".320",".302",".376",".460",".369","120","-16.0","-1.9","39.0","860"
"Omar Vizquel","- - -","2246","9497","2310","74","1210","813","362","8.9 %","9.1 %",".088",".299",".278",".344",".366",".320","88","67.2","3.4","37.7","411"
"Barry Larkin","Reds","1244","5134","1295","120","794","541","217","12.0 %","9.6 %",".162",".305",".292",".379",".454",".371","121","1.6","8.0","37.6","335"
"Carl Crawford","- - -","1365","5934","1609","115","830","648","427","5.3 %","14.7 %",".148",".328",".293",".333",".441",".343","110","116.8","21.1","37.0","1201"
"Reggie Sanders","- - -","1508","6002","1418","272","879","861","260","9.6 %","23.1 %",".228",".310",".267",".343",".495",".361","117","80.6","3.7","36.9","1129"
"Troy Glaus","- - -","1535","6355","1375","320","889","950","56","13.4 %","21.7 %",".235",".281",".254",".358",".489",".364","119","-26.5","7.8","36.8","15"
"Torii Hunter","- - -","1806","7333","1827","281","990","1054","177","7.4 %","17.8 %",".193",".301",".274",".332",".467",".343","108","16.7","11.0","36.6","731"
"Rafael Furcal","- - -","1492","6708","1696","108","994","540","304","8.9 %","12.7 %",".125",".313",".283",".348",".408",".337","103","-9.0","29.6","36.5","88"
"Jeff Cirillo","- - -","1590","6136","1598","112","800","727","63","9.2 %","11.3 %",".134",".320",".296",".366",".430",".350","103","99.8","3.0","36.4","1073"
"David Ortiz","- - -","1747","7302","1773","379","1063","1275","11","13.1 %","18.4 %",".261",".304",".284",".378",".545",".389","135","-11.7","-44.1","36.1","745"
"Alfonso Soriano","- - -","1610","6951","1760","340","980","933","265","5.9 %","20.6 %",".230",".303",".274",".323",".505",".354","113","6.9","2.9","35.8","847"
"Joe Mauer","Twins","926","3945","1104","85","549","507","35","11.9 %","9.9 %",".147",".342",".323",".403",".470",".376","132","-2.7","12.2","35.3","1857"
"Shawn Green","- - -","1935","7957","2003","328","1129","1070","162","9.4 %","16.5 %",".212",".305",".283",".355",".495",".365","119","-59.4","-2.5","35.0","651"
"Aramis Ramirez","- - -","1690","6993","1792","315","877","1127","18","7.2 %","13.8 %",".215",".289",".283",".341",".498",".357","113","-40.4","-29.8","33.5","1002"
"Ray Durham","- - -","1973","8423","2054","192","1249","875","273","9.7 %","14.3 %",".158",".306",".277",".352",".436",".346","106","-80.3","16.1","33.4","230"
"Jose Reyes","- - -","1059","4879","1309","81","739","424","373","6.9 %","10.5 %",".149",".314",".292",".340",".440",".345","111","14.0","18.0","33.3","1736"
"Javy Lopez","- - -","1481","5760","1515","259","670","860","8","6.2 %","16.8 %",".204",".306",".287",".337",".490",".352","111","-14.0","-9.8","33.2","103"
"Albert Belle","- - -","1033","4577","1219","273","717","863","52","11.3 %","12.6 %",".285",".298",".307",".387",".592",".411","146","-60.0","","33.1","1000802"
"Edgardo Alfonzo","- - -","1495","6108","1532","146","777","744","53","9.8 %","10.1 %",".140",".296",".284",".357",".425",".345","108","32.5","-1.7","33.0","859"
"Brian Jordan","- - -","1329","5200","1345","169","705","755","106","6.4 %","14.6 %",".171",".304",".284",".336",".454",".342","105","157.2","4.4","32.9","658"
"Eric Chavez","- - -","1377","5583","1319","232","747","813","47","10.4 %","17.1 %",".208",".286",".267",".342",".474",".348","112","35.9","2.7","32.8","906"
"Ryan Klesko","- - -","1697","6488","1558","276","871","981","91","12.5 %","16.5 %",".222",".299",".279",".371",".501",".373","127","-47.9","0.0","32.7","1041"
"Luis Castillo","- - -","1719","7471","1889","28","1001","443","370","10.7 %","11.4 %",".061",".329",".290",".368",".351",".328","98","15.2","23.6","32.3","513"
"Chuck Knoblauch","- - -","1171","5359","1335","93","868","468","319","11.0 %","10.9 %",".136",".314",".290",".383",".427",".366","117","11.4","1.3","32.2","609"
"Tim Salmon","Angels","1505","6337","1514","266","885","915","42","13.8 %","19.0 %",".215",".317",".284",".387",".498",".382","128","-47.5","-3.5","32.1","32"
"Jose Valentin","- - -","1637","6250","1335","248","861","808","135","10.0 %","20.4 %",".205",".271",".243",".321",".448",".331","95","74.4","1.8","32.0","256"
"Carlos Lee","- - -","1960","8208","2139","350","1073","1295","122","7.3 %","11.4 %",".205",".285",".287",".340",".491",".355","114","-11.6","-25.2","31.7","243"
"Ray Lankford","- - -","1219","4744","1111","199","722","662","150","13.1 %","24.3 %",".227",".333",".274",".371",".502",".376","127","2.1","-3.2","31.4","1044"
"Hanley Ramirez","- - -","861","3795","1023","135","621","438","218","9.8 %","16.2 %",".199",".338",".305",".379",".504",".384","134","-45.3","14.6","31.0","8001"
"Michael Young","Rangers","1673","7433","2073","170","1010","926","87","6.7 %","14.6 %",".147",".338",".304",".350",".451",".348","107","-78.0","21.0","30.9","1286"
"Curtis Granderson","- - -","974","4152","976","169","654","489","104","10.0 %","22.0 %",".226",".311",".267",".344",".492",".362","120","16.9","18.7","30.6","4747"
"Steve Finley","- - -","1888","7779","1883","278","1125","952","184","8.6 %","13.2 %",".194",".280",".270",".335",".465",".345","106","-65.2","12.3","30.5","54"
"Grady Sizemore","Indians","892","4047","948","139","601","458","134","10.6 %","20.2 %",".204",".312",".269",".357",".473",".361","121","22.6","20.8","30.2","2197"
"Ryan Zimmerman","Nationals","854","3712","954","128","495","500","25","9.3 %","16.8 %",".190",".318",".288",".354",".477",".357","119","52.1","10.5","30.2","4220"
"Mike Lowell","- - -","1598","6500","1619","223","771","952","30","8.4 %","12.6 %",".185",".287",".279",".342",".464",".346","108","8.4","-28.7","29.9","527"
"Brian Roberts","Orioles","1233","5535","1374","84","775","477","274","9.9 %","13.3 %",".135",".314",".281",".353",".416",".343","108","20.2","11.6","29.8","166"
"Randy Winn","- - -","1704","6878","1759","110","863","662","215","7.6 %","14.7 %",".132",".322",".284",".343",".416",".333","101","56.9","14.9","29.8","1235"
"Darin Erstad","- - -","1653","6628","1697","124","913","699","179","7.2 %","14.2 %",".125",".314",".282",".336",".407",".327","94","146.7","9.5","29.6","11"
